Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary
This Love I Have Inside,stargazing_dreamer_girl,24329029,23 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"9,403",1,0,37,1,612,"
No Archive Warnings ApplyFred Weasley/Original Female Character(s) Fred Weasley/Original Character(s)Fred Weasley George Weasley Original Characters Original Female Character(s) Ginny Weasley Hermione Granger Harry Potter Cedric Diggory Ron WeasleyBook 4: Harry Potter and the Goblet of Fire Pining Mutual Pining Fluff Yule Ball (Harry Potter)
","
Clara Comder, student at Hogwarts School of Witchcraft and Wizardry, is about to start her sixth year at Hogwarts, promising herself that she would confess her feelings to Fred Weasley this year, but, as she well knows, it’s never as easy as it sounds.
"
Spelling It Out,Nocturnal_Daydreams,24329044,23 May 2020,Not Rated,"F/M, Other",Choose Not To Use Archive Warnings,Complete Work,English,"29,407",1,14,213,32,5338,"
Creator Chose Not To Use Archive WarningsHermione Granger/Fred WeasleyFred Weasley Hermione Granger Harry Potter Ron Weasley Ginny Weasley Draco Malfoy George Weasley Neville Longbottom Luna Lovegood Angelina Johnson Mr Granger (Harry Potter) Mrs Granger (Harry Potter) Katie BellSoulmates Soul Bond Romantic Soulmates Fred Weasley Lives Secret Admirer
","
Tattoos or Birthmarks of your soulmates first words to you are commonplace in the magic world. That's what Hermione finds out as well as that her phrase is uncommonly common. A secret admirer approaches her but does she even want to know who it is, does she even want to love when the Golden Trio are called upon so often by fate.
"
Untamed Journey,Jetainia,24329050,23 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,612",1,0,17,1,240,"
No Archive Warnings ApplyHelga Hufflepuff/Salazar Slytherin Godric Gryffindor & Rowena RavenclawHelga Hufflepuff Salazar Slytherin Godric Gryffindor Rowena Ravenclaw Basilisk (Harry Potter)Alternate Universe Western Howl's Moving Castle inspired Restaurant to Another World inspired The Untamed inspired
","
The roaming Hogwarts saloon is a place of happiness and laughter—and some healthy competition.
"
The Quill,xslytherclawx,24329686,23 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,586,1,4,68,2,664,"
No Archive Warnings ApplyDraco Malfoy/Harry Potter Draco Malfoy & Narcissa Black MalfoyHarry Potter Draco Malfoy Narcissa Black MalfoyHarry Potter Epilogue What Epilogue | EWE Established Relationship Post-Canon
","
Harry's always wondered about Draco's golden quill.
"
Harry Potter Bending Force,Gman85,24329902,19 Jan 2022,Explicit,F/M,Underage,Work in Progress,English,"128,631",17,104,286,133,21617,"
UnderageOther Relationship Tags to Be Added Azula & Ty Lee (Avatar)Harry Potter Aang (Avatar) The Gaang (Avatar) Katara (Avatar) Sokka (Avatar) Other Character Tags to Be Added Zuko (Avatar) Azula (Avatar) Mai (Avatar) Ty Lee (Avatar)Eventual Smut Eventual Romance Powerful Harry Bender Harry Potter Strong Harry Potter Other Additional Tags to Be Added Oral Sex Female Ejaculation Lesbian Sex
","
Harry was woefully unprepared for the Tri-Wizard Tournament.  Magic decided to do something about it.  Harry would be the answer to many problems.  First, he had to survive a Fire Lord, a Hundred Year War and an excitable 12 year old with ancient powers. This is an uncensored version of the story.  The ""censored"" version is on FF net.
"
Reflections.,wisegirlgranger (formlessbIob),24330094,23 May 2020,General Audiences,Other,No Archive Warnings Apply,Complete Work,English,"1,212",1,0,6,0,99,"
No Archive Warnings ApplyDraco Malfoy Lucius Malfoy Narcissa Black MalfoyMirror of Erised Room of Requirement Draco's task Book 6: Harry Potter and the Half-Blood Prince Death Eater Draco Malfoy
","
Draco Malfoy didn't want to kill Albus Dumbledore. He had managed to stall the operation for nearly an entire year, each of his previous attempts to execute it ending in near disaster and he couldn't delay any longer. But on the night that he had arranged for task to be completed, he stumbles upon a strange mirror in the Room of Requirement...
"
Forever Yesterday,F0XW1LD,24330289,24 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"7,212",2,32,85,11,1304,"
Creator Chose Not To Use Archive WarningsHermione Granger/Harry PotterHarry Potter Hermione GrangerRomance Drama Female Harry Potter Male Hermione Granger Implied/Referenced Child Abuse
","
The wizarding world celebrates the end of the Dark Lord, but the troubles are just beginning for Jamie Potter. No matter how far she goes, she can't outrun her past.
"
Fantastic Beast and how to Get Rid of Them,ElliahRose,24330547,23 May 2020,Not Rated,Gen,No Archive Warnings Apply,Complete Work,English,"1,238",1,16,1186,89,14721,"
No Archive Warnings ApplyHarry Potter & Voldemort Harry Potter & Tom Riddle | Voldemort Harry Potter & AnimalsHarry Potter VoldemortPossessive Voldemort Parent Voldemort Voldemort is Harry Potter's Parent Precious Harry Potter Adorable Harry Potter Harry makes friends with all the animals Voldemort is #done But also he's very weak Voldemort is a jealous boi Magical Creatures Kid Harry Potter Harry Potter is an Inferius Inferius Harry Potter everyone loves Harry Potter
","
Voldemort loves his precious child. Loves how he is so sweet and compassionate and befriends everyone around him. He wishes, though, that he'd stop adopting stray animals and inviting them to live in his bedroom. 
Voldemort is at his wits end with his child housing everything from a small cat to a unicorn in his bedroom. And Voldemort is especially done with his child naming them. 
 
Side story to 'Little One with Green Eyes'
"
Skirmish in the stacks,valancyjane,24330949,23 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,299,1,18,151,7,3869,"
Creator Chose Not To Use Archive WarningsHermione Granger/Draco MalfoyHermione Granger Draco MalfoyShort One Shot Drabble Flashbacks Hogwarts Fifth Year dramione - Freeform
","
A little (flashback) drabble from Hermione's POV, written for the FB Strictly Dramione #FanArtFriday challenge.
"
Miss Black and the Social Network,LilacFree,24330991,01 Jun 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"31,802",10,10,35,6,678,"
No Archive Warnings ApplyArrakis Black|Harry Potter always a girl!Harry Potter Sirius Black Lucretia Black Prewett Narcissa Black Malfoy Draco Malfoy Hermione Granger Millicent Bulstrode assorted Harry Potter characters a handful of OCs - Character Kreacher - CharacterCanon-Typical Violence Eating Disorder Not Otherwise Specified The Talk Minor Character Death Swearing
","
Now that Miss Arrakis Black is being reintroduced into the wizard world, she must find allies where she can and grow up faster than a girl her age should.  She must go among her peers and into places where enemies may lie in wait.  She can make time for ballet and Quidditch, but the mistakes she makes mean more than the mistakes of an ordinary girl.  She has left behind the name of Harriet Daisy Potter, but not the destiny of the Girl Who Lived.  Who is not the Boy Who Lived, who got that one wrong?
"
